game_id,winner,mode,status,timestamp_start,timestamp_end,file_reference,move_sequence_hash,is_mutualized
1,Rouge,2,completed,2026-02-01 22:18:28,2026-02-01 23:18:28.063707,,422502081c96c0de33a6b7457cc90eee0960e4943f4f10cc27b597ec128c4554,0
2,,2,in_progress,2026-02-02 07:56:42,2026-02-02 08:56:42.833446,testencc2.txt,be52f77c9b76cbd687dc0d98f4d1f2cee0d59bed9e87d5cd2fce469e246793d1,0
3,Jaune,1,completed,2026-02-02 08:16:55,2026-02-02 09:16:55.037472,,3dbe7abf17d3f7e9100a18036356ab275e2056d24d056f5aadb3df9a58ead66e,0
4,,2,in_progress,2026-02-03 11:05:50,2026-02-03 12:05:50.004267,,3fc2f480b545766000a9fb668f142ee985835947748d608f713052524de153ae,0
5,,2,in_progress,2026-02-03 11:08:04,2026-02-03 12:08:04.901931,,954adb32d0ea14703e751a28cf131648d778e3bcf19641e73277f8df071e0f07,0
6,,2,in_progress,2026-02-03 11:21:33,2026-02-03 12:21:33.063720,,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,0
7,,2,in_progress,2026-02-03 11:21:35,2026-02-03 12:21:35.413544,,30b96072cb6cd992900f96aa782364c67ab57fd1e398126e83b82edfced9aef8,0
